3.140000 -2.953008     -4.885020     14.280508
3.160000 -3.339410     -5.597595     13.809295
3.180000 -3.791047     -6.433415     13.448494
3.200000 -4.319521     -7.408056     13.220821
3.220000 -4.937228     -8.536674     13.157459
3.240000 -5.657117     -9.831561     13.300432
3.260000 -6.492006     -11.298073     13.705215
3.280000 -7.453219     -12.928148     14.443040
3.300000 -8.548205     -14.690445     15.601797
3.320000 -9.776653     -16.516284     17.283320
3.340000 -11.124579     -18.281423     19.593327
3.360000 -12.555948     -19.786209     22.618425
3.380000 -14.002000     -20.741900     26.383817
3.400000 -15.349980     -20.779658     30.788760
3.420000 -16.435916     -19.507917     35.530144
3.440000 -17.050316     -16.642462     40.052550
3.460000 -16.968745     -12.199617     43.596939
3.480000 -16.014920     -6.662415     45.417826
3.500000 -14.144419     -0.950265     45.135558
3.520000 -11.505588     3.916190     43.003166
3.540000 -8.421232     7.290271     39.814236
3.560000 -5.278931     9.134274     36.468257
3.580000 -2.396290     9.845656     33.563762
3.600000 0.052099     9.915391     31.306308
3.620000 2.024757     9.713638     29.651144
3.640000 3.562533     9.452502     28.467059
3.660000 4.740527     9.230173     27.626108
3.680000 5.638456     9.081019     27.031517
3.700000 6.326969     9.008613     26.617499
3.720000 6.863298     9.003382     26.341392
3.740000 7.291315     9.050985     26.175888
3.760000 7.643249     9.135968     26.103202
3.780000 7.941793     9.243203     26.111081
3.800000 8.202075     9.358367     26.190124
3.820000 8.433333     9.468094     26.331970
3.840000 8.640285     9.560074     26.528061
3.860000 8.824243     9.623232     26.768803
3.880000 8.984041     9.648055     27.043058
3.900000 9.116843     9.627038     27.337937
3.920000 9.218882     9.555215     27.638923
3.940000 9.286149     9.430686     27.930300
3.960000 9.315056     9.255017     28.195903
3.980000 9.303048     9.033419     28.420101
4.000000 9.249123     8.774586     28.588919
4.020000 9.154215     8.490155     28.691133
4.040000 9.021403     8.193816     28.719179
4.060000 8.855886     7.900180     28.669713
4.080000 8.664745     7.623559     28.543746
4.100000 8.456508     7.376859     28.346342
4.120000 8.240578     7.170745     28.085966
4.140000 8.026611     7.013162     27.773614
4.160000 7.823921     6.909241     27.421897
4.180000 7.640985     6.861517     27.044199
4.200000 7.485091     6.870352     26.654022
4.220000 7.362143     6.934440     26.264533
4.240000 7.276603     7.051286     25.888306
4.260000 7.231539     7.217580     25.537237
4.280000 7.228747     7.429419     25.222540
4.300000 7.268882     7.682382     24.954809
4.320000 7.351582     7.971437     24.744059
4.340000 7.475553     8.290735     24.599729
4.360000 7.638589     8.633298     24.530580
4.380000 7.837531     8.990662     24.544477
4.400000 8.068157     9.352504     24.648003
4.420000 8.325027     9.706343     24.845879
4.440000 8.601290     10.037379     25.140189
4.460000 8.888508     10.328592     25.529419
4.480000 9.176524     10.561216     26.007369
4.500000 9.453463     10.715700     26.562083
4.520000 9.705910     10.773252     27.174989
4.540000 9.919379     10.717937     27.820564
4.560000 10.079090     10.539176     28.466816
4.580000 10.171107     10.234291     29.076887
4.600000 10.183744     9.810542     29.611878
4.620000 10.109104     9.286032     30.034687
4.640000 9.944489     8.688934     30.314311
4.660000 9.693378     8.054863     30.429730
4.680000 9.365675     7.422720     30.372445
4.700000 8.977084     6.829874     30.147007
4.720000 8.547642     6.307800     29.769433
4.740000 8.099674     5.879154     29.264036
4.760000 7.655570     5.556806     28.659573
4.780000 7.235817     5.344681     27.985694
4.800000 6.857590     5.239858     27.270318
4.820000 6.534043     5.235138     26.538193
