0.720000 1.339721	1.543068
0.730000 1.355151	1.533025
0.740000 1.370481	1.522950
0.750000 1.385711	1.512846
0.760000 1.400839	1.502714
0.770000 1.415867	1.492557
0.780000 1.430792	1.482379
0.790000 1.445616	1.472180
0.800000 1.460338	1.461964
0.810000 1.474957	1.451732
0.820000 1.489475	1.441488
0.830000 1.503890	1.431233
0.840000 1.518202	1.420969
0.850000 1.532412	1.410699
0.860000 1.546519	1.400424
0.870000 1.560523	1.390147
0.880000 1.574424	1.379869
0.890000 1.588223	1.369593
0.900000 1.601919	1.359321
0.910000 1.615512	1.349054
0.920000 1.629003	1.338794
0.930000 1.642391	1.328543
0.940000 1.655676	1.318303
0.950000 1.668859	1.308075
0.960000 1.681940	1.297862
0.970000 1.694918	1.287664
0.980000 1.707795	1.277483
0.990000 1.720570	1.267322
1.000000 1.733243	1.257180
1.010000 1.745815	1.247060
1.020000 1.758285	1.236964
1.030000 1.770655	1.226891
1.040000 1.782924	1.216845
1.050000 1.795092	1.206826
1.060000 1.807161	1.196835
1.070000 1.819129	1.186874
1.080000 1.830998	1.176943
1.090000 1.842767	1.167044
1.100000 1.854438	1.157179
1.110000 1.866009	1.147347
1.120000 1.877483	1.137550
1.130000 1.888858	1.127789
1.140000 1.900136	1.118065
1.150000 1.911317	1.108379
1.160000 1.922401	1.098731
1.170000 1.933388	1.089123
1.180000 1.944279	1.079556
1.190000 1.955075	1.070029
1.200000 1.965775	1.060544
1.210000 1.976381	1.051102
1.220000 1.986892	1.041703
1.230000 1.997309	1.032348
1.240000 2.007632	1.023038
1.250000 2.017863	1.013772
1.260000 2.028000	1.004552
1.270000 2.038046	0.995378
1.280000 2.048000	0.986251
1.290000 2.057862	0.977171
1.300000 2.067634	0.968138
1.310000 2.077315	0.959154
1.320000 2.086907	0.950218
1.330000 2.096409	0.941330
1.340000 2.105822	0.932492
1.350000 2.115147	0.923703
1.360000 2.124384	0.914963
1.370000 2.133534	0.906274
1.380000 2.142596	0.897635
1.390000 2.151573	0.889046
1.400000 2.160463	0.880508
1.410000 2.169268	0.872020
1.420000 2.177989	0.863584
1.430000 2.186624	0.855199
1.440000 2.195176	0.846865
1.450000 2.203645	0.838582
1.460000 2.212031	0.830351
1.470000 2.220334	0.822171
1.480000 2.228556	0.814043
1.490000 2.236697	0.805967
1.500000 2.244756	0.797942
1.510000 2.252736	0.789969
1.520000 2.260635	0.782047
1.530000 2.268456	0.774177
1.540000 2.276198	0.766359
1.550000 2.283861	0.758592
1.560000 2.291447	0.750877
1.570000 2.298956	0.743213
1.580000 2.306388	0.735600
1.590000 2.313744	0.728039
1.600000 2.321024	0.720529
1.610000 2.328230	0.713069
1.620000 2.335360	0.705660
1.630000 2.342417	0.698302
1.640000 2.349400	0.690995
1.650000 2.356310	0.683738
1.660000 2.363147	0.676531
1.670000 2.369913	0.669374
1.680000 2.376606	0.662267
1.690000 2.383229	0.655209
1.700000 2.389781	0.648200
1.710000 2.396263	0.641241
1.720000 2.402676	0.634331
1.730000 2.409019	0.627469
1.740000 2.415294	0.620656
1.750000 2.421500	0.613890
1.760000 2.427639	0.607173
1.770000 2.433711	0.600503
1.780000 2.439716	0.593881
1.790000 2.445655	0.587306
1.800000 2.451528	0.580777
1.810000 2.457335	0.574295
1.820000 2.463078	0.567859
1.830000 2.468757	0.561469
1.840000 2.474372	0.555125
1.850000 2.479923	0.548826
1.860000 2.485411	0.542572
1.870000 2.490837	0.536362
1.880000 2.496200	0.530197
1.890000 2.501502	0.524076
1.900000 2.506743	0.517999
1.910000 2.511923	0.511964
1.920000 2.517043	0.505973
1.930000 2.522103	0.500025
1.940000 2.527103	0.494119
1.950000 2.532044	0.488254
1.960000 2.536927	0.482432
1.970000 2.541751	0.476650
1.980000 2.546517	0.470910
1.990000 2.551226	0.465210
2.000000 2.555879	0.459550
2.010000 2.560474	0.453930
2.020000 2.565013	0.448350
2.030000 2.569497	0.442809
2.040000 2.573925	0.437306
2.050000 2.578298	0.431842
2.060000 2.582616	0.426416
2.070000 2.586881	0.421028
2.080000 2.591091	0.415676
2.090000 2.595248	0.410362
2.100000 2.599351	0.405084
2.110000 2.603402	0.399843
2.120000 2.607401	0.394637
2.130000 2.611347	0.389467
2.140000 2.615242	0.384331
2.150000 2.619085	0.379231
2.160000 2.622877	0.374164
2.170000 2.626619	0.369132
2.180000 2.630310	0.364133
2.190000 2.633951	0.359167
2.200000 2.637543	0.354234
2.210000 2.641085	0.349333
2.220000 2.644579	0.344465
2.230000 2.648023	0.339628
2.240000 2.651420	0.334822
2.250000 2.654768	0.330047
2.260000 2.658068	0.325303
2.270000 2.661321	0.320589
2.280000 2.664527	0.315905
2.290000 2.667686	0.311250
2.300000 2.670799	0.306624
2.310000 2.673865	0.302027
2.320000 2.676885	0.297458
2.330000 2.679860	0.292917
2.340000 2.682789	0.288403
2.350000 2.685673	0.283917
2.360000 2.688512	0.279457
2.370000 2.691307	0.275024
2.380000 2.694057	0.270616
2.390000 2.696763	0.266235
2.400000 2.699426	0.261879
2.410000 2.702044	0.257547
2.420000 2.704620	0.253240
2.430000 2.707152	0.248958
2.440000 2.709642	0.244699
2.450000 2.712089	0.240464
2.460000 2.714494	0.236251
2.470000 2.716856	0.232062
2.480000 2.719177	0.227895
2.490000 2.721456	0.223749
2.500000 2.723693	0.219626
2.510000 2.725889	0.215523
2.520000 2.728045	0.211442
2.530000 2.730159	0.207381
2.540000 2.732233	0.203340
2.550000 2.734266	0.199319
2.560000 2.736259	0.195318
2.570000 2.738213	0.191336
2.580000 2.740126	0.187372
2.590000 2.742000	0.183427
2.600000 2.743834	0.179500
2.610000 2.745629	0.175590
2.620000 2.747385	0.171698
2.630000 2.749102	0.167823
2.640000 2.750780	0.163965
2.650000 2.752420	0.160123
2.660000 2.754021	0.156296
2.670000 2.755584	0.152486
2.680000 2.757109	0.148690
2.690000 2.758596	0.144910
2.700000 2.760045	0.141144
2.710000 2.761456	0.137392
2.720000 2.762830	0.133654
2.730000 2.764167	0.129929
2.740000 2.765466	0.126218
2.750000 2.766728	0.122520
2.760000 2.767953	0.118834
2.770000 2.769142	0.115160
2.780000 2.770293	0.111498
2.790000 2.771408	0.107847
2.800000 2.772487	0.104208
2.810000 2.773529	0.100579
2.820000 2.774535	0.096961
2.830000 2.775504	0.093353
2.840000 2.776438	0.089755
2.850000 2.777335	0.086166
2.860000 2.778197	0.082586
2.870000 2.779023	0.079015
2.880000 2.779813	0.075452
2.890000 2.780567	0.071898
2.900000 2.781286	0.068351
2.910000 2.781970	0.064812
2.920000 2.782618	0.061280
2.930000 2.783231	0.057754
2.940000 2.783808	0.054235
2.950000 2.784351	0.050722
2.960000 2.784858	0.047215
2.970000 2.785330	0.043714
2.980000 2.785767	0.040217
2.990000 2.786169	0.036726
3.000000 2.786537	0.033238
3.010000 2.786869	0.029755
3.020000 2.787167	0.026276
3.030000 2.787429	0.022800
3.040000 2.787657	0.019328
3.050000 2.787851	0.015858
3.060000 2.788009	0.012391
3.070000 2.788133	0.008925
3.080000 2.788222	0.005462
3.090000 2.788277	0.002001
3.100000 2.788297	-0.001460
3.110000 2.788282	-0.004920
3.120000 2.788233	-0.008379
3.130000 2.788149	-0.011838
3.140000 2.788031	-0.015296
3.150000 2.787878	-0.018756
3.160000 2.787691	-0.022216
3.170000 2.787468	-0.025677
3.180000 2.787212	-0.029140
3.190000 2.786920	-0.032604
3.200000 2.786594	-0.036070
3.210000 2.786234	-0.039539
3.220000 2.785838	-0.043010
3.230000 2.785408	-0.046485
3.240000 2.784943	-0.049962
3.250000 2.784444	-0.053444
3.260000 2.783909	-0.056929
3.270000 2.783340	-0.060419
3.280000 2.782736	-0.063913
3.290000 2.782097	-0.067412
3.300000 2.781422	-0.070917
3.310000 2.780713	-0.074427
3.320000 2.779969	-0.077943
3.330000 2.779190	-0.081465
3.340000 2.778375	-0.084994
3.350000 2.777525	-0.088530
3.360000 2.776640	-0.092073
