1.830000 2.024997     0.120951	2.524997	0.620951
1.840000 2.026206     0.111723	2.526206	0.611723
1.850000 2.027324     0.102519	2.527324	0.602519
1.860000 2.028349     0.093338	2.528349	0.593338
1.870000 2.029282     0.084180	2.529282	0.584180
1.880000 2.030124     0.075044	2.530124	0.575044
1.890000 2.030874     0.065930	2.530874	0.565930
1.900000 2.031534     0.056838	2.531534	0.556838
1.910000 2.032102     0.047767	2.532102	0.547767
1.920000 2.032580     0.038717	2.532580	0.538717
1.930000 2.032967     0.029687	2.532967	0.529687
1.940000 2.033264     0.020677	2.533264	0.520677
1.950000 2.033471     0.011686	2.533471	0.511686
1.960000 2.033587     0.002714	2.533587	0.502714
1.970000 2.033615     -0.006240	2.533615	0.493760
1.980000 2.033552     -0.015175	2.533552	0.484825
1.990000 2.033400     -0.024093	2.533400	0.475907
2.000000 2.033160     -0.032994	2.533160	0.467006
2.010000 2.032830     -0.041878	2.532830	0.458122
2.020000 2.032411     -0.050745	2.532411	0.449255
2.030000 2.031903     -0.059597	2.531903	0.440403
2.040000 2.031307     -0.068434	2.531307	0.431566
2.050000 2.030623     -0.077255	2.530623	0.422745
2.060000 2.029851     -0.086062	2.529851	0.413938
2.070000 2.028990     -0.094854	2.528990	0.405146
2.080000 2.028041     -0.103633	2.528041	0.396367
2.090000 2.027005     -0.112399	2.527005	0.387601
2.100000 2.025881     -0.121151	2.525881	0.378849
2.110000 2.024670     -0.129891	2.524670	0.370109
2.120000 2.023371     -0.138619	2.523371	0.361381
2.130000 2.021984     -0.147335	2.521984	0.352665
2.140000 2.020511     -0.156040	2.520511	0.343960
2.150000 2.018951     -0.164733	2.518951	0.335267
2.160000 2.017303     -0.173416	2.517303	0.326584
2.170000 2.015569     -0.182089	2.515569	0.317911
2.180000 2.013748     -0.190752	2.513748	0.309248
2.190000 2.011841     -0.199405	2.511841	0.300595
2.200000 2.009847     -0.208050	2.509847	0.291950
2.210000 2.007766     -0.216685	2.507766	0.283315
2.220000 2.005599     -0.225312	2.505599	0.274688
2.230000 2.003346     -0.233931	2.503346	0.266069
2.240000 2.001007     -0.242542	2.501007	0.257458
2.250000 1.998582     -0.251146	2.498582	0.248854
2.260000 1.996070     -0.259742	2.496070	0.240258
2.270000 1.993473     -0.268332	2.493473	0.231668
2.280000 1.990789     -0.276915	2.490789	0.223085
2.290000 1.988020     -0.285492	2.488020	0.214508
2.300000 1.985165     -0.294064	2.485165	0.205936
2.310000 1.982225     -0.302629	2.482225	0.197371
2.320000 1.979198     -0.311189	2.479198	0.188811
2.330000 1.976086     -0.319745	2.476086	0.180255
2.340000 1.972889     -0.328295	2.472889	0.171705
2.350000 1.969606     -0.336841	2.469606	0.163159
2.360000 1.966238     -0.345382	2.466238	0.154618
2.370000 1.962784     -0.353920	2.462784	0.146080
2.380000 1.959245     -0.362454	2.459245	0.137546
2.390000 1.955620     -0.370984	2.455620	0.129016
2.400000 1.951910     -0.379510	2.451910	0.120490
2.410000 1.948115     -0.388034	2.448115	0.111966
2.420000 1.944235     -0.396554	2.444235	0.103446
2.430000 1.940269     -0.405072	2.440269	0.094928
2.440000 1.936219     -0.413587	2.436219	0.086413
2.450000 1.932083     -0.422100	2.432083	0.077900
2.460000 1.927862     -0.430610	2.427862	0.069390
2.470000 1.923556     -0.439118	2.423556	0.060882
2.480000 1.919164     -0.447624	2.419164	0.052376
2.490000 1.914688     -0.456128	2.414688	0.043872
2.500000 1.910127     -0.464630	2.410127	0.035370
2.510000 1.905481     -0.473131	2.405481	0.026869
2.520000 1.900749     -0.481630	2.400749	0.018370
2.530000 1.895933     -0.490127	2.395933	0.009873
2.540000 1.891032     -0.498623	2.391032	0.001377
2.550000 1.886045     -0.507117	2.386045	-0.007117
2.560000 1.880974     -0.515610	2.380974	-0.015610
2.570000 1.875818     -0.524102	2.375818	-0.024102
2.580000 1.870577     -0.532592	2.370577	-0.032592
2.590000 1.865251     -0.541081	2.365251	-0.041081
2.600000 1.859840     -0.549568	2.359840	-0.049568
2.610000 1.854345     -0.558054	2.354345	-0.058054
2.620000 1.848764     -0.566539	2.348764	-0.066539
2.630000 1.843099     -0.575022	2.343099	-0.075022
2.640000 1.837349     -0.583503	2.337349	-0.083503
2.650000 1.831514     -0.591983	2.331514	-0.091983
2.660000 1.825594     -0.600461	2.325594	-0.100461
2.670000 1.819589     -0.608937	2.319589	-0.108937
2.680000 1.813500     -0.617412	2.313500	-0.117412
2.690000 1.807326     -0.625884	2.307326	-0.125884
2.700000 1.801067     -0.634354	2.301067	-0.134354
2.710000 1.794723     -0.642821	2.294723	-0.142821
2.720000 1.788295     -0.651286	2.288295	-0.151286
2.730000 1.781782     -0.659747	2.281782	-0.159747
2.740000 1.775185     -0.668206	2.275185	-0.168206
2.750000 1.768503     -0.676662	2.268503	-0.176662
2.760000 1.761736     -0.685113	2.261736	-0.185113
2.770000 1.754885     -0.693562	2.254885	-0.193562
2.780000 1.747949     -0.702005	2.247949	-0.202005
2.790000 1.740929     -0.710445	2.240929	-0.210445
2.800000 1.733825     -0.718880	2.233825	-0.218880
2.810000 1.726636     -0.727309	2.226636	-0.227309
2.820000 1.719363     -0.735733	2.219363	-0.235733
2.830000 1.712006     -0.744152	2.212006	-0.244152
2.840000 1.704564     -0.752564	2.204564	-0.252564
2.850000 1.697038     -0.760970	2.197038	-0.260970
2.860000 1.689429     -0.769368	2.189429	-0.269368
2.870000 1.681735     -0.777759	2.181735	-0.277759
2.880000 1.673957     -0.786142	2.173957	-0.286142
2.890000 1.666096     -0.794517	2.166096	-0.294517
2.900000 1.658151     -0.802882	2.158151	-0.302882
2.910000 1.650122     -0.811238	2.150122	-0.311238
2.920000 1.642010     -0.819584	2.142010	-0.319584
2.930000 1.633814     -0.827920	2.133814	-0.327920
2.940000 1.625535     -0.836244	2.125535	-0.336244
2.950000 1.617172     -0.844557	2.117172	-0.344557
2.960000 1.608727     -0.852857	2.108727	-0.352857
2.970000 1.600198     -0.861144	2.100198	-0.361144
2.980000 1.591587     -0.869417	2.091587	-0.369417
2.990000 1.582892     -0.877676	2.082892	-0.377676
3.000000 1.574116     -0.885920	2.074116	-0.385920
3.010000 1.565256     -0.894148	2.065256	-0.394148
3.020000 1.556315     -0.902360	2.056315	-0.402360
3.030000 1.547291     -0.910554	2.047291	-0.410554
3.040000 1.538186     -0.918730	2.038186	-0.418730
3.050000 1.528999     -0.926887	2.028999	-0.426887
3.060000 1.519730     -0.935025	2.019730	-0.435025
3.070000 1.510379     -0.943142	2.010379	-0.443142
3.080000 1.500948     -0.951237	2.000948	-0.451237
3.090000 1.491436     -0.959310	1.991436	-0.459310
3.100000 1.481843     -0.967360	1.981843	-0.467360
3.110000 1.472169     -0.975386	1.972169	-0.475386
3.120000 1.462415     -0.983387	1.962415	-0.483387
3.130000 1.452581     -0.991361	1.952581	-0.491361
3.140000 1.442668     -0.999309	1.942668	-0.499309
3.150000 1.432674     -1.007228	1.932674	-0.507228
3.160000 1.422602     -1.015119	1.922602	-0.515119
3.170000 1.412451     -1.022979	1.912451	-0.522979
3.180000 1.402221     -1.030808	1.902221	-0.530808
3.190000 1.391913     -1.038604	1.891913	-0.538604
3.200000 1.381527     -1.046367	1.881527	-0.546367
3.210000 1.371063     -1.054096	1.871063	-0.554096
3.220000 1.360522     -1.061789	1.860522	-0.561789
3.230000 1.349905     -1.069445	1.849905	-0.569445
3.240000 1.339210     -1.077063	1.839210	-0.577063
3.250000 1.328440     -1.084642	1.828440	-0.584642
3.260000 1.317593     -1.092181	1.817593	-0.592181
3.270000 1.306671     -1.099678	1.806671	-0.599678
3.280000 1.295674     -1.107131	1.795674	-0.607131
3.290000 1.284603     -1.114541	1.784603	-0.614541
3.300000 1.273458     -1.121905	1.773458	-0.621905
