1.930000 2.032967	0.029687
1.940000 2.033264	0.020677
1.950000 2.033471	0.011686
1.960000 2.033587	0.002714
1.970000 2.033615	-0.006240
1.980000 2.033552	-0.015175
1.990000 2.033400	-0.024093
2.000000 2.033160	-0.032994
2.010000 2.032830	-0.041878
2.020000 2.032411	-0.050745
2.030000 2.031903	-0.059597
2.040000 2.031307	-0.068434
2.050000 2.030623	-0.077255
2.060000 2.029851	-0.086062
2.070000 2.028990	-0.094854
2.080000 2.028041	-0.103633
2.090000 2.027005	-0.112399
2.100000 2.025881	-0.121151
2.110000 2.024670	-0.129891
2.120000 2.023371	-0.138619
2.130000 2.021984	-0.147335
2.140000 2.020511	-0.156040
2.150000 2.018951	-0.164733
2.160000 2.017303	-0.173416
2.170000 2.015569	-0.182089
2.180000 2.013748	-0.190752
2.190000 2.011841	-0.199405
2.200000 2.009847	-0.208050
2.210000 2.007766	-0.216685
2.220000 2.005599	-0.225312
2.230000 2.003346	-0.233931
2.240000 2.001007	-0.242542
2.250000 1.998582	-0.251146
2.260000 1.996070	-0.259742
2.270000 1.993473	-0.268332
2.280000 1.990789	-0.276915
2.290000 1.988020	-0.285492
2.300000 1.985165	-0.294064
2.310000 1.982225	-0.302629
2.320000 1.979198	-0.311189
2.330000 1.976086	-0.319745
2.340000 1.972889	-0.328295
2.350000 1.969606	-0.336841
2.360000 1.966238	-0.345382
2.370000 1.962784	-0.353920
2.380000 1.959245	-0.362454
2.390000 1.955620	-0.370984
2.400000 1.951910	-0.379510
2.410000 1.948115	-0.388034
2.420000 1.944235	-0.396554
2.430000 1.940269	-0.405072
2.440000 1.936219	-0.413587
2.450000 1.932083	-0.422100
2.460000 1.927862	-0.430610
2.470000 1.923556	-0.439118
2.480000 1.919164	-0.447624
2.490000 1.914688	-0.456128
2.500000 1.910127	-0.464630
2.510000 1.905481	-0.473131
2.520000 1.900749	-0.481630
2.530000 1.895933	-0.490127
2.540000 1.891032	-0.498623
2.550000 1.886045	-0.507117
2.560000 1.880974	-0.515610
2.570000 1.875818	-0.524102
2.580000 1.870577	-0.532592
2.590000 1.865251	-0.541081
2.600000 1.859840	-0.549568
2.610000 1.854345	-0.558054
2.620000 1.848764	-0.566539
2.630000 1.843099	-0.575022
2.640000 1.837349	-0.583503
2.650000 1.831514	-0.591983
2.660000 1.825594	-0.600461
2.670000 1.819589	-0.608937
2.680000 1.813500	-0.617412
2.690000 1.807326	-0.625884
2.700000 1.801067	-0.634354
2.710000 1.794723	-0.642821
2.720000 1.788295	-0.651286
2.730000 1.781782	-0.659747
2.740000 1.775185	-0.668206
2.750000 1.768503	-0.676662
2.760000 1.761736	-0.685113
2.770000 1.754885	-0.693562
2.780000 1.747949	-0.702005
2.790000 1.740929	-0.710445
2.800000 1.733825	-0.718880
2.810000 1.726636	-0.727309
2.820000 1.719363	-0.735733
2.830000 1.712006	-0.744152
2.840000 1.704564	-0.752564
2.850000 1.697038	-0.760970
2.860000 1.689429	-0.769368
2.870000 1.681735	-0.777759
2.880000 1.673957	-0.786142
2.890000 1.666096	-0.794517
2.900000 1.658151	-0.802882
2.910000 1.650122	-0.811238
2.920000 1.642010	-0.819584
2.930000 1.633814	-0.827920
2.940000 1.625535	-0.836244
2.950000 1.617172	-0.844557
2.960000 1.608727	-0.852857
2.970000 1.600198	-0.861144
2.980000 1.591587	-0.869417
